2021-05-06 19:11:14 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000009
2021-05-06 19:11:35 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000009
2021-05-06 19:11:56 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000009
2021-05-06 19:12:17 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000009
2021-05-06 19:12:39 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000009
2021-05-06 19:13:00 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000009
2021-05-06 20:06:42 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000009
2021-05-06 20:07:03 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000009
2021-05-06 20:24:57 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000009
2021-05-06 20:24:57 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000010
2021-05-06 20:25:18 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000010
2021-05-06 20:25:18 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000009
2021-05-06 20:25:39 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000009
2021-05-06 20:25:39 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000010
2021-05-06 20:26:01 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000009
2021-05-06 20:26:01 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000010
2021-05-06 20:26:22 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000009
2021-05-06 20:26:22 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000010
2021-05-06 20:26:43 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000010
2021-05-06 20:26:43 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000009
2021-05-06 20:27:04 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000010
2021-05-06 20:27:25 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000010
2021-05-06 20:27:46 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000010
2021-05-06 20:28:07 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000010
2021-05-06 20:28:28 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000010
2021-05-06 20:28:49 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000010
2021-05-06 20:29:10 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000010
2021-05-06 20:45:19 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000009
2021-05-06 20:45:40 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000009
2021-05-06 20:46:01 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000009
2021-05-06 20:46:22 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000009
